Library	Cruise	Station	BODC Station	CTDPRS [dbar]	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]
139	GA03	22	1702221	80	2011-12-07T18:06:27.000	330.61719	19.4329
140	GA03	22	1702221	95	2011-12-07T18:06:27.000	330.61719	19.4329
141	GA03	22	1702221	125	2011-12-07T18:06:27.000	330.61719	19.4329
142	GA03	22	1702221	185	2011-12-07T18:06:27.000	330.61719	19.4329
143	GA03	22	1702221	235	2011-12-07T18:06:27.000	330.61719	19.4329
144	GA03	22	1702221	285	2011-12-07T18:06:27.000	330.61719	19.4329
145	GA03	22	1702221	390	2011-12-07T18:06:27.000	330.61719	19.4329
147	GA02	25	1608932	10	2010-06-17T18:08:29.000	292.92731	24.7144
148	GA02	25	1608932	75	2010-06-17T18:08:29.000	292.92731	24.7144
149	GA02	25	1608932	100	2010-06-17T18:08:29.000	292.92731	24.7144
150	GA02	25	1608932	150	2010-06-17T18:08:29.000	292.92731	24.7144
151	GA02	25	1608932	200	2010-06-17T18:08:29.000	292.92731	24.7144
152	GA02	27	1608967	10	2010-06-19T19:48:29.000	296.41669	22.3409
153	GA02	27	1608967	75	2010-06-19T19:48:29.000	296.41669	22.3409
154	GA02	27	1608967	100	2010-06-19T19:48:29.000	296.41669	22.3409
155	GA02	27	1608967	150	2010-06-19T19:48:29.000	296.41669	22.3409
156	GA02	27	1608967	200	2010-06-19T19:48:29.000	296.41669	22.3409
157	GA02	11	1608582	10	2010-05-11T15:01:30.000	320.60049	47.8
158	GA02	11	1608582	50	2010-05-11T15:01:30.000	320.60049	47.8
159	GA02	11	1608582	75	2010-05-11T15:01:30.000	320.60049	47.8
160	GA02	11	1608582	100	2010-05-11T15:01:30.000	320.60049	47.8
161	GA02	11	1608582	150	2010-05-11T15:01:30.000	320.60049	47.8
162	GA02	11	1608582	200	2010-05-11T15:01:30.000	320.60049	47.8
163	GA02	21	1608862	10	2010-06-13T06:51:59.000	295.83331	31.6668
164	GA02	21	1608862	75	2010-06-13T06:51:59.000	295.83331	31.6668
165	GA02	21	1608862	100	2010-06-13T06:51:59.000	295.83331	31.6668
166	GA02	21	1608862	150	2010-06-13T06:51:59.000	295.83331	31.6668
167	GA02	21	1608862	200	2010-06-13T06:51:59.000	295.83331	31.6668
168	GA02	23	1608904	10	2010-06-15T17:48:38.000	292.4985	28.0907
169	GA02	23	1608904	75	2010-06-15T17:48:38.000	292.4985	28.0907
170	GA02	23	1608904	100	2010-06-15T17:48:38.000	292.4985	28.0907
170	GA02	23	1608904	100	2010-06-15T17:48:38.000	292.4985	28.0907
171	GA02	23	1608904	150	2010-06-15T17:48:38.000	292.4985	28.0907
172	GA02	23	1608904	200	2010-06-15T17:48:38.000	292.4985	28.0907
177	GA02	8	1629687	50	2011-03-13T11:25:00.000	320.5632	-35.0088
178	GA02	8	1629687	152	2011-03-13T11:25:00.000	320.5632	-35.0088
179	GA02	9	1629708	10	2011-03-14T17:22:26.000	322.54071	-32.0894
180	GA02	9	1629708	151	2011-03-14T17:22:26.000	322.54071	-32.0894
181	GA02	10	1629722	11	2011-03-15T22:09:00.000	324.20401	-29.0579
