asample,bsample,BCdis
S0051,S0166,0.08091549318814328
S0130,S0175,0.06580587178378228
S0035,S0048,0.10283342560882391
S0097,S0143,0.058080129913695266
S0008,S0073,0.16162983298641365
S0019,S0190,0.0806388865024712
S0010,S0192,0.08845003027909193
S0010,S0101,0.10457296563897667
S0010,S0174,0.18081569837353995
S0018,S0131,0.08449217019502397
S0040,S0122,0.1220935866017876
S0040,S0073,0.14179753981507315
S0006,S0040,0.09251712817911628
S0034,S0173,0.10083428771796965
S0058,S0167,0.12050297186735048
S0041,S0105,0.09427622323169693
S0036,S0037,0.04024326377020704
S0036,S0088,0.08738094302988786
S0018,S0067,0.056712627662310444
S0023,S0144,0.12374100509789432
S0047,S0102,0.13632420477819218
S0033,S0074,0.10795052618477896
S0033,S0115,0.10400865888650146
S0033,S0057,0.08657377011401735
S0033,S0137,0.12937197022749103
S0004,S0097,0.13735609923407877
S0024,S0171,0.1025259656169013
S0116,S0117,0.058976319475635974
S0018,S0046,0.08582719755432555
S0015,S0082,0.0695283654730009
S0085,S0186,0.08130748006128308
S0124,S0181,0.06363278230597269
S0062,S0145,0.14931878979604418
S0062,S0077,0.04061131715779043
S0039,S0062,0.0642168724358243
S0012,S0062,0.13692070233275488
S0128,S0154,0.13541049624060764
S0128,S0159,0.1739694923911873
S0088,S0133,0.15869280976056543
S0053,S0132,0.09980523012494424
S0016,S0132,0.06478774683002497
S0145,S0161,0.24448592190220086
S0114,S0182,0.07088023458930426
S0142,S0153,0.16139685916529478
S0005,S0011,0.10938148916799628
S0005,S0073,0.08569840300156717
S0087,S0142,0.058500537570513544
S0049,S0116,0.1216374929994184
S0098,S0134,0.15178805832856535
S0033,S0134,0.09896369627042934
S0031,S0125,0.08069975326513046
S0227,S0323,0.11217005801796798
S0295,S0438,0.19714322543991603
S0382,S0423,0.06154060738233447
S0403,S0443,0.04756097805941051
S0382,S0415,0.04677935833747804
S0402,S0407,0.05851871534380959
S0381,S0430,0.05877006558762932
S0374,S0391,0.04151068037985195
S0261,S0386,0.030849474719043757
S0379,S0431,0.09135894117303323
S0286,S0389,0.04866402683076676
S0360,S0430,0.08893256703287833
S0284,S0381,0.05051944490302196
S0350,S0404,0.038775468001639224
S0350,S0386,0.03675928011112539
S0350,S0438,0.20003773726592922
S0371,S0373,0.07109540707936679
S0256,S0376,0.04820371967333159
S0337,S0436,0.08883577144259691
S0337,S0419,0.08012945695245
S0369,S0384,0.0681695820502326
S0341,S0370,0.08837065665096921
S0261,S0360,0.09688845356635156
S0325,S0374,0.051094536791495226
S0325,S0385,0.048574719765565155
S0319,S0410,0.09431969640229787
S0321,S0423,0.17429224885731942
S0314,S0372,0.08480640160685526
S0336,S0435,0.20410711464422016
S0347,S0432,0.06300143122467872
S0347,S0392,0.04942667487750929
S0328,S0391,0.31024688003131706
S0342,S0367,0.03595053468784215
S0331,S0337,0.05801357707929122
S0283,S0337,0.060419479545009924
S0303,S0372,0.07794691549461275
S0218,S0369,0.17842337852413515
S0324,S0367,0.05242459752635287
S0279,S0317,0.07287476664800163
S0315,S0354,0.08340014175885224
S0306,S0429,0.05532546512188863
S0306,S0365,0.0504190212304354
S0326,S0381,0.08082592801702515
S0277,S0374,0.0694643934438578
S0256,S0303,0.04982834720242135
S0307,S0379,0.06058101097274049
S0319,S0324,0.04605766361194208
S0271,S0323,0.07511343949273275
S0229,S0313,0.06731629640551284
S0311,S0326,0.10023226769307614
S0318,S0326,0.1281639968145184
S0300,S0382,0.054401416447236395
S0270,S0276,0.072072748825317
S0437,S0445,0.1496567593305279
S0309,S0445,0.0853991210767141
S0269,S0395,0.08777371505711795
S0267,S0407,0.08209656215284233
S0267,S0367,0.07465133305492289
S0267,S0377,0.07337563472510811
S0261,S0268,0.060195038147572544
S0335,S0380,0.12646117540575597
S0267,S0272,0.04189850486160285
S0277,S0300,0.05645176928721074
S0265,S0326,0.07371339480945538
S0258,S0304,0.19080763272384027
S0258,S0269,0.1674476257207257
S0260,S0384,0.2352871481656823
S0266,S0318,0.12935368407764825
S0263,S0350,0.07713555283052853
S0263,S0337,0.07966249505825318
S0255,S0331,0.04246952237407753
S0255,S0334,0.0731654552236568
S0257,S0378,0.04490736904680426
S0244,S0350,0.0743007545197989
S0239,S0307,0.07153987354810076
S0242,S0370,0.23956560174578734
S0242,S0283,0.2250694729544761
S0242,S0259,0.1757913411892824
S0235,S0438,0.15522710343685742
S0235,S0395,0.10241677310900044
S0235,S0389,0.11670654779102185
S0241,S0387,0.11561318281472488
S0241,S0332,0.1202383442735574
S0244,S0266,0.05718018520374213
S0252,S0376,0.0762858088864048
S0274,S0372,0.07596796051552768
S0223,S0283,0.08068558331204034
S0223,S0324,0.08743910904981478
S0223,S0312,0.09919572512803776
