Library,Station,pressure,depth,temp,sal,OXYGEN,CTDOXY,PHSPHT,SILCAT,NITRAT,NITRIT,TALK,DIC,H2O_2_D_DELTA_BOTTLE,H2O_18_D_DELTA_BOTTLE,Al_D_CONC_BOTTLE,STANDARD_DEV,Ba_D_CONC_BOTTLE,Cd_D_CONC_BOTTLE,Fe_D_CONC_BOTTLE,Fe_D_CONC_BOTTLE_FIA,Fe_D_CONC_BOTTLE_FIA_STANDARD_DEV,Mn_D_CONC_BOTTLE,Mn_D_CONC_BOTTLE_STANDARD_DEV,Mo_D_CONC_BOTTLE,Ni_D_CONC_BOTTLE,Pb_D_CONC_BOTTLE,U_D_CONC_BOTTLE,Zn_D_CONC_BOTTLE,Y_D_CONC_BOTTLE,La_D_CONC_BOTTLE,Pa_231_D_CONC_BOTTLE,Pa_231_D_CONC_BOTTLE_STANDARD_DEV,Th_230_D_CONC_BOTTLE,Th_230_D_CONC_BOTTLE_STANDARD_DEV,Th_232_D_CONC_BOTTLE,Th_232_D_CONC_BOTTLE_STANDARD_DEV,Th_234_D_CONC_BOTTLE,Th_234_D_CONC_BOTTLE_STANDARD_DEV
S0012,12,160,158.7,14.8326,35.938581,-1,213.4066666667,0.4083333333,2.6758,6.6058,0.0536666667,2348.496,2119.8566666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S0013,12,180,178.7,16.2592666667,35.926581,-1,215.1844444444,0.2972222222,1.8891333333,3.8191333333,0.0314444444,2354.096,2104.9677777778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S0015,16,10,9.9,28.3666,36.30165095,194.9,193.935,0.077,0.33325,0.005,0.0205,1249.6775,1070.655,3.16,-0.075,7.51465,-0.45122,20.699,-0.49815,-0.425,-0.42683,-0.436585,0.32439,-0.485365,68.667505,0.645,9.55,6.15415,-0.305,52.155,8.665,-1,-1,-1,-1,-1,-1,18.261,-0.090245
S0016,16,40,39.7402597403,24.5579350649,36.490634961,-1,203.2363636364,0.0558441558,0.4283116883,0.0402597403,0.0380519481,-1,-1,7.36,0.89,14.9857402597,0.1054146753,42.2137,0.0027051948,0.0818181818,0.061161039,0.0411911688,1.2192593506,0.023375974,136.229,2.29,18.8381818182,12.9522,0.065974026,116.488961039,15.0405194805,-1,-1,-1,-1,-1,-1,35.9833103896,1.1296792208
S0017,16,80,79.4,18.7712833333,36.519723175,-1,204.1966666667,0.03,0.6,0.5,0.13,-1,-1,-1,-1,15.4146,0.19512,-1,0.004,0.06,0.06439,0.00195,0.72195,0.00683,-1,2.29,21.89,-1,0.03,135.8,12.57,-1,-1,-1,-1,-1,-1,32.0976,1.7561
S0018,16,100,99.4,22.27295,36.447500675,-1,176.53,0.03,0.6,0.5,0.13,-1,-1,-1,-1,15.4146,0.19512,-1,0.004,0.06,0.06439,0.00195,0.72195,0.00683,-1,2.29,21.89,-1,0.03,135.8,12.57,-1,-1,-1,-1,-1,-1,32.0976,1.7561
S0019,16,160,158.8,16.63750625,36.28369475,-1,186.879375,0.38025,2.465375,6.441125,0.2870625,1194.5,1051.5,1.67,0.09,8.999128625,-0.32753075,46.0283,-0.359741875,-0.2589375,-0.3555865,-0.4163474375,-0.113322875,-0.415596625,129.336,1.229875,11.956625,12.6449,-0.3360625,76.72325,9.0854375,-1,-1,-1,-1,-1,-1,22.56638875,0.46722675
S0020,16,180,178.8,14.01188125,35.68931975,-1,143.1085416667,1.0219166667,6.0945416667,16.1619583333,0.1641458333,1194.5,1051.5,1.67,0.09,6.851766125,-0.13545575,46.0283,-0.0197210417,0.2181458333,-0.0816031667,-0.2043536875,0.0401312917,-0.205434125,129.336,2.742375,14.794125,12.6449,0.0201875,94.0649166667,14.2916875,-1,-1,-1,-1,-1,-1,30.9291804167,0.6958850833
S0021,15,10,9.9,23.81985,36.56095035,-1,206.35,0.0495,0.269,0.135,0.0515,2394.15,2070.5,6.79,0.86,14.1073,0.05854,44.6722,0.0025,0.17,0.13658,0.00976,1.69756,0.02146,147.537,2.39,19.89,13.2429,0.22,103.64,17.3,-1,-1,-1,-1,-1,-1,39.1512,0.77073
S0022,15,40,39.7445887446,23.5794805195,36.5969647532,-1,206.3021645022,0.0504761905,0.2277056277,0.1337662338,0.0367532468,1204.55,1027.7,3.045,-0.07,8.7793073593,-0.1805497835,20.00295,-0.2750969697,-0.2138095238,-0.2173699134,0.00293,0.4434617749,-0.2662806926,72.9935,1.2903896104,13.6141558442,6.0005,-0.2470562771,82.1361038961,9.3064935065,-1,-1,-1,-1,-1,-1,16.7195,-0.114635
