Library	Cruise	Station	BODC Station	CTDPRS [dbar]	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]
S0120	GA03	1	1646123	285	2011-11-07T19:12:24.000	290.1861	39.6941
S0122	GA03	4	1646256	40	2011-11-13T00:04:27.000	291.1304	38.3269
S0123	GA03	4	1646256	66	2011-11-13T00:04:27.000	291.1304	38.3269
S0124	GA03	4	1646256	90	2011-11-13T00:04:27.000	291.1304	38.3269
S0125	GA03	4	1646256	111	2011-11-13T00:04:27.000	291.1304	38.3269
S0126	GA03	4	1646256	135	2011-11-13T00:04:27.000	291.1304	38.3269
S0127	GA03	4	1646256	185	2011-11-13T00:04:27.000	291.1304	38.3269
S0128	GA03	4	1646256	238	2011-11-13T00:04:27.000	291.1304	38.3269
S0129	GA03	4	1646256	285	2011-11-13T00:04:27.000	291.1304	38.3269
S0130	GA03	6	1646326	10	2011-11-14T22:56:41.000	291.5954	37.5954
S0131	GA03	6	1646326	40	2011-11-14T22:56:41.000	291.5954	37.5954
S0132	GA03	6	1646326	60	2011-11-14T22:56:41.000	291.5954	37.5954
S0133	GA03	6	1646326	80	2011-11-14T22:56:41.000	291.5954	37.5954
S0134	GA03	6	1646326	100	2011-11-14T22:56:41.000	291.5954	37.5954
S0135	GA03	6	1646326	120	2011-11-14T22:56:41.000	291.5954	37.5954
S0136	GA03	6	1646326	160	2011-11-14T22:56:41.000	291.5954	37.5954
S0137	GA03	6	1646326	180	2011-11-14T22:56:41.000	291.5954	37.5954
S0138	GA03	22	1702221	50	2011-12-07T18:06:27.000	330.61719	19.4329
S0139	GA03	22	1702221	80	2011-12-07T18:06:27.000	330.61719	19.4329
S0140	GA03	22	1702221	95	2011-12-07T18:06:27.000	330.61719	19.4329
S0141	GA03	22	1702221	125	2011-12-07T18:06:27.000	330.61719	19.4329
S0142	GA03	22	1702221	185	2011-12-07T18:06:27.000	330.61719	19.4329
S0143	GA03	22	1702221	235	2011-12-07T18:06:27.000	330.61719	19.4329
S0144	GA03	22	1702221	285	2011-12-07T18:06:27.000	330.61719	19.4329
S0145	GA03	22	1702221	390	2011-12-07T18:06:27.000	330.61719	19.4329
S0147	GA02	25	1608932	10	2010-06-17T18:08:29.000	292.92731	24.7144
S0148	GA02	25	1608932	75	2010-06-17T18:08:29.000	292.92731	24.7144
S0149	GA02	25	1608932	100	2010-06-17T18:08:29.000	292.92731	24.7144
S0150	GA02	25	1608932	150	2010-06-17T18:08:29.000	292.92731	24.7144
S0151	GA02	25	1608932	200	2010-06-17T18:08:29.000	292.92731	24.7144
S0152	GA02	27	1608967	10	2010-06-19T19:48:29.000	296.41669	22.3409
S0153	GA02	27	1608967	75	2010-06-19T19:48:29.000	296.41669	22.3409
S0154	GA02	27	1608967	100	2010-06-19T19:48:29.000	296.41669	22.3409
S0155	GA02	27	1608967	150	2010-06-19T19:48:29.000	296.41669	22.3409
S0156	GA02	27	1608967	200	2010-06-19T19:48:29.000	296.41669	22.3409
S0157	GA02	11	1608582	10	2010-05-11T15:01:30.000	320.60049	47.8
