asample|bsample,BCdis
S0027|SS0158,0.12305210450653004
S0025|SS0047,0.10672534536057476
S0022|SS0047,0.11738410768476526
S0027|S0029,0.14207750241480466
SS0149|SS0151,0.2150621173707028
S0016|SS0047,0.09711281843837516
S0020|S0025,0.08250427244269032
S0016|SS0034,0.07851206763116514
SS0154|SS0157,0.16210800712858542
S0009|SS0041,0.12407393752087903
SS0043|SS0047,0.09081921375385882
S0001|SS0041,0.23399081589953175
SS0151|SS0155,0.1660222243503362
S0004|S0012,0.05506132077335868
S0012|S0019,0.08157546101962343
S0003|SS0034,0.07821599221388831
SS0036|SS0041,0.06997158750690602
SS0036|SS0155,0.07198011795922254
SS0033|SS0035,0.0870947735298212
S0002|S0010,0.13174714910139762
S0024|SS0149,0.0877597598809351
S0020|SS0150,0.12621195367833926
S0017|S0028,0.12498893538314981
S0011|SS0042,0.16951064450473663
SS0034|SS0154,0.10679871403009211
S0015|SS0158,0.07702497542301545
S0010|SS0042,0.12395996301800771
S0004|SS0041,0.1405597813374737
S0010|SS0151,0.21390585803043893
SS0039|SS0043,0.09210351466717648
S0023|SS0043,0.09696503586268401
S0008|S0023,0.11397115112348144
S0012|SS0154,0.11225330747416118
S0003|S0027,0.09236953551702543
SS0040|SS0153,0.1308802707212614
SS0036|SS0151,0.1493256035469519
S0012|SS0036,0.130593968494497
S0027|SS0149,0.11674545885654042
SS0039|SS0048,0.12716868466074083
S0021|S0026,0.07959530005673998
S0024|SS0042,0.08480497872976589
S0016|SS0042,0.10667809421230112
S0011|SS0157,0.224513799049186
SS0041|SS0149,0.11523756872387025
SS0153|SS0157,0.1419856528232335
S0010|S0025,0.07954583438347729
S0009|SS0158,0.07350214231262875
SS0037|SS0046,0.07810172644216351
S0004|S0019,0.0767970611197718
S0019|SS0154,0.09376373833985296
S0001|S0009,0.3191505353922538
S0008|S0009,0.1636842137977631
S0005|SS0048,0.09993511844591751
S0005|S0024,0.0674522450183842
S0005|SS0155,0.09667438384478899
S0005|SS0151,0.18892267348486458
S0003|SS0043,0.09482837003919276
S0015|SS0040,0.14231015288699433
SS0034|SS0040,0.07145540302789621
S0022|SS0040,0.09870206584467534
S0029|SS0035,0.11244536510566572
S0002|SS0150,0.09054883937678437
SS0047|SS0149,0.08281382407876603
SS0048|SS0150,0.1272392469564072
SS0041|SS0150,0.08408469426413312
S0025|SS0041,0.07491931119442907
S0017|SS0154,0.12185617143916161
S0010|SS0154,0.0925918744662777
S0021|SS0045,0.10941141696871015
SS0033|SS0046,0.07308320666884893
SS0155|SS0158,0.10127075921798434
S0008|S0025,0.11724719844180076
S0008|SS0040,0.0913359351608598
SS0035|SS0158,0.10215199567320699
S0020|SS0157,0.1872573923621479
S0026|SS0150,0.08627358725719325
S0029|SS0157,0.19720685593834952
S0027|SS0047,0.14149654604272843
S0029|SS0042,0.14722044917636512
S0029|SS0034,0.11060442413124383
S0021|SS0039,0.09619793636387586
S0026|SS0153,0.09302650684802982
S0004|S0028,0.11903646123932421
S0024|SS0037,0.06432630983050158
S0009|SS0045,0.1502709679002978
S0017|SS0151,0.14634483937378118
S0013|SS0045,0.15606188821282996
S0016|S0018,0.06808622627839434
SS0153|SS0155,0.08606259621127055
S0012|SS0039,0.1693960218117484
S0012|SS0034,0.12885958855286073
SS0040|SS0047,0.1582205311684034
S0017|SS0036,0.06373452725924111
S0024|SS0048,0.0998285292885519
SS0149|SS0156,0.18261074118515663
S0024|S0025,0.05333501254390882
SS0042|SS0156,0.11847776131010523
SS0042|SS0047,0.12543987386709
S0022|SS0042,0.10184164365993276
SS0034|SS0039,0.0579388872650064
S0023|SS0034,0.07037011792739767
S0017|S0020,0.10875462968095573
S0009|SS0039,0.14138868231665191
S0009|S0022,0.09925930009159256
S0010|S0026,0.09258769053531357
S0009|SS0150,0.13610531361579226
S0010|SS0037,0.08325724215117458
SS0034|SS0037,0.055732634400832204
S0018|SS0154,0.12004556567491376
S0018|S0022,0.0685259782558797
SS0037|SS0155,0.07860636234728935
S0006|SS0155,0.09404259808907323
S0005|S0026,0.06886016875015577
S0003|SS0155,0.09100686986359419
SS0035|SS0157,0.14029016965177887
S0002|SS0034,0.10056406612257496
S0020|S0028,0.10146172021932565
SS0150|SS0151,0.12558261604197607
S0022|SS0039,0.08708211074203309
SS0149|SS0153,0.06235684570420319
S0023|SS0153,0.06500660695496485
S0010|S0029,0.07456117737949786
S0009|S0011,0.09743544751873123
S0017|SS0037,0.07114358489833084
S0011|SS0033,0.11257669324066166
S0018|SS0150,0.07289006697331801
S0011|SS0155,0.14662849379767506
S0008|S0027,0.09511673693675704
S0001|S0026,0.26283804464393934
SS0040|SS0149,0.14402240969307334
SS0036|SS0156,0.12022016634602195
S0029|SS0036,0.10994732005358243
S0010|SS0035,0.09940277505411432
S0004|SS0035,0.11705473131650213
S0025|SS0035,0.05707671598112185
S0019|SS0035,0.07839399236748634
S0018|SS0035,0.07639437113068703
SS0151|SS0158,0.22130956230675425
S0023|S0025,0.06088053019614548
SS0039|SS0042,0.07009443013030336
SS0034|SS0149,0.08894971326210432
S0026|SS0045,0.09155584480224632
S0022|SS0154,0.0969472769567018
S0015|SS0149,0.07337604977129153
S0004|SS0156,0.21911659094606128
S0004|S0016,0.08606941550305858
S0010|SS0156,0.18432722065148688
SS0043|SS0046,0.06157553942796046
S0027|SS0043,0.1278512862088227
S0012|S0022,0.1413093217198883
S0003|SS0150,0.07978015670922667
SS0040|SS0042,0.0801443520236218
S0018|SS0036,0.05594973988818219
S0002|S0020,0.15703521121868014
S0002|SS0149,0.14813470589309452
S0025|SS0158,0.0860498239850076
S0020|SS0156,0.19667726412052455
S0022|S0029,0.11478193159949868
S0016|SS0046,0.10114133536174896
S0011|SS0149,0.0870640975604261
S0010|S0024,0.08372485533661433
S0017|SS0045,0.08588433357996994
S0022|SS0043,0.10459954233197666
S0001|S0006,0.2688115065405181
S0019|SS0155,0.09475966452756535
S0005|SS0046,0.08636999046128091
S0010|S0012,0.08557921555305414
SS0040|SS0045,0.04403304199704827
S0023|SS0040,0.1081534985171877
SS0149|SS0158,0.06494347929331667
S0025|S0027,0.09742096151189805
SS0047|SS0150,0.1317208062601376
SS0039|SS0047,0.13974991543426984
S0028|SS0042,0.14677771841092624
S0016|SS0150,0.10127452699764217
S0017|SS0157,0.11718446690238116
S0011|S0024,0.13325008816028683
S0011|S0016,0.09704740540770096
S0021|SS0154,0.08723277045883937
S0015|SS0157,0.16731707535609086
S0027|SS0153,0.0898113457611055
S0015|SS0153,0.0755953134489602
SS0034|SS0045,0.06601153671324211
S0011|S0019,0.08941287698221445
S0018|S0023,0.06741394927112598
S0019|SS0157,0.15943460419033895
S0018|SS0043,0.09183246214481844
S0001|SS0037,0.2694862716183133
SS0048|SS0155,0.10140814499023265
S0008|SS0047,0.17614478042258963
S0008|S0029,0.18480913503419027
S0008|SS0158,0.1626073571823734
S0011|S0012,0.03439141795612277
S0003|SS0151,0.14252242780766844
S0002|SS0043,0.11979156253803924
SS0048|SS0149,0.0947858188851759
SS0042|SS0151,0.13938291968392136
S0021|SS0041,0.0853535523957667
S0009|SS0042,0.14011542015929768
S0006|SS0151,0.16743889123488964
SS0033|SS0034,0.0861056123587749
S0013|SS0155,0.12540746086902188
S0018|SS0033,0.10689041080736661
S0001|S0011,0.3685079157618507
S0003|S0009,0.11822174433432198
S0003|S0029,0.13178711112155206
SS0036|SS0042,0.07016383899063994
S0022|S0026,0.07706237893687173
S0026|SS0048,0.11060394574801302
S0016|S0028,0.10155861614658146
S0023|SS0045,0.10811457597335905
SS0041|SS0154,0.1246287306320254
S0004|S0023,0.10143668206961232
S0010|S0022,0.09015676974409415
S0004|S0011,0.058469402309687335
S0009|SS0037,0.10595082218107077
S0017|S0027,0.09633449898192303
S0018|SS0149,0.10400790476205102
S0005|SS0154,0.1070183984200691
S0012|S0021,0.1317708864137831
S0002|S0015,0.13288462661170852
S0002|SS0157,0.08492940002442173
S0023|S0024,0.04731659839937341
S0016|SS0158,0.0747689040493138
S0026|SS0042,0.09051544546854617
S0011|SS0039,0.17549393465020158
S0011|S0023,0.11508733910791591
S0013|SS0046,0.1190430776786845
S0028|SS0041,0.13168215218186596
S0016|SS0154,0.0923626488491307
S0015|SS0151,0.21303169633589503
S0004|SS0042,0.14855546966263877
S0009|S0010,0.05257510470502069
SS0037|SS0156,0.13579112730833987
S0006|SS0157,0.13980864568287343
S0021|SS0037,0.07509248567275162
S0027|SS0033,0.1278442915595136
SS0034|SS0043,0.08294159413045032
S0013|SS0043,0.12243873667544258
S0001|SS0039,0.2192547315105139
S0005|SS0156,0.1609469393117795
S0003|S0023,0.07229036212577289
SS0040|SS0156,0.06927512464429275
SS0039|SS0040,0.045185431362929296
SS0035|SS0036,0.06522866720485632
S0011|SS0035,0.13548106380654257
S0023|SS0149,0.0743466075892324
S0024|SS0156,0.125166772615544
S0029|SS0149,0.06506954644432528
S0021|S0029,0.10527560415339354
SS0048|SS0157,0.1698330157555643
S0020|SS0039,0.13325892720621868
S0024|SS0041,0.06962925635398887
S0015|SS0034,0.09546387438023674
S0017|SS0153,0.09590654180881808
S0009|S0020,0.08760458235280899
S0010|S0023,0.0713960796560269
S0009|S0017,0.11322473164246882
S0025|SS0033,0.08842830373921051
S0017|S0021,0.07617723415601496
S0019|SS0039,0.10234061862916721
S0019|S0024,0.06658341071181373
S0023|SS0155,0.07590608364241491
SS0150|SS0155,0.07479863978492562
SS0043|SS0155,0.09242552822888395
SS0040|SS0154,0.15201389292489587
S0010|SS0036,0.09281913363414729
S0026|SS0036,0.06777622606175038
S0002|SS0039,0.0803210958484829
S0023|SS0151,0.17389732357699894
S0022|S0024,0.05150214271911158
S0027|SS0042,0.12257645263147465
S0011|S0022,0.14211405802643362
S0010|S0020,0.06985547440518503
S0006|S0022,0.08057342570932058
S0006|S0019,0.06160549071807431
S0018|SS0156,0.11638109815095887
S0016|SS0155,0.0965933995467464
SS0149|SS0155,0.08235310670020235
SS0046|SS0155,0.07997654962159884
S0012|SS0043,0.14230464386912978
S0003|SS0046,0.0965783489903479
S0005|SS0040,0.11421259590398336
S0025|SS0036,0.05612945322963314
S0005|SS0036,0.07082269244101147
S0002|S0008,0.059075720506613916
SS0150|SS0158,0.11946896236287863
S0021|SS0158,0.08513614539154313
S0029|SS0156,0.2099151871889232
S0011|S0029,0.051457938918323176
SS0042|SS0045,0.06891744364297747
SS0154|SS0158,0.07926608141616331
S0015|S0029,0.06640945523178354
S0010|SS0157,0.168486727773407
SS0033|SS0041,0.11044389210846894
SS0033|SS0037,0.07818556363563434
S0019|SS0042,0.1038775809025213
S0019|SS0149,0.06812243064558221
S0001|SS0154,0.30876063429356493
S0001|S0004,0.3471391410339376
S0027|SS0155,0.09171733734278253
S0008|SS0042,0.11261666364317502
S0008|S0010,0.15156397704692992
S0005|S0015,0.06789072707530186
S0012|S0013,0.03635052235334946
S0001|SS0150,0.22521417847003644
SS0040|SS0048,0.1436800644956584
SS0036|SS0149,0.08702355063393064
S0009|SS0036,0.11250618734543494
SS0047|SS0157,0.1845837866679132
S0022|SS0151,0.15640518036224715
S0023|SS0046,0.097008468512638
S0016|S0025,0.06500221446235166
S0021|SS0149,0.08574197173635156
S0013|SS0156,0.21230733896859755
S0011|S0028,0.12571846782361884
S0020|SS0153,0.08287828743251724
S0004|S0025,0.10705473058459503
S0004|SS0048,0.1119307430366121
S0004|S0013,0.0527335907809261
S0006|SS0153,0.09441668496492128
S0016|SS0033,0.08975385731371144
SS0042|SS0043,0.06819224665109791
S0013|S0019,0.05998484882253996
S0018|SS0042,0.07857492470623606
S0019|SS0048,0.09982038311778041
S0018|S0020,0.10268396503855237
S0001|S0010,0.30861661729667245
S0018|SS0155,0.08765272876744712
S0005|S0006,0.043054801196631964
S0012|SS0037,0.1151269288501161
S0006|S0012,0.11675138427056653
SS0034|SS0036,0.048026137850630035
S0027|SS0036,0.09351234923700735
S0023|SS0036,0.06609146394465149
S0003|SS0036,0.07207791925015983
S0002|S0028,0.15495714305493002
S0027|SS0157,0.08946488632689242
S0024|S0028,0.10633339342613546
S0024|SS0046,0.0831480223510207
S0011|SS0158,0.08102404288369003
SS0034|SS0041,0.07481553121009432
SS0150|SS0154,0.1131270799800358
S0015|SS0154,0.09608651387463196
S0010|SS0158,0.056809824986523094
SS0037|SS0153,0.0696705821510264
SS0037|SS0150,0.07230586957202434
S0006|S0020,0.08768070477195289
S0006|SS0045,0.08482967165742195
S0024|SS0033,0.09194959329389485
S0021|SS0033,0.0950782689927564
S0018|SS0158,0.10902136019959086
S0006|S0008,0.12076000241590146
S0005|SS0158,0.07999481872454306
S0001|S0020,0.33041588960271706
S0003|S0005,0.07193211479576522
S0003|S0020,0.12052146129089425
S0012|SS0157,0.2232096318748571
SS0036|SS0043,0.0732353829621859
S0001|SS0040,0.2076133916383549
SS0035|SS0149,0.09702499963613964
SS0157|SS0158,0.17007240292578285
SS0156|SS0158,0.19024748745242737
S0026|S0028,0.11375333490591555
SS0042|SS0158,0.13305834948806938
SS0041|SS0042,0.07570225461453672
S0013|SS0041,0.13638846120972892
S0015|SS0046,0.11501612003492057
S0013|S0015,0.07158962686047521
SS0153|SS0154,0.06200427673328601
S0011|SS0153,0.10791499927085979
S0009|SS0047,0.11220531979815918
S0004|SS0039,0.15614238621953946
S0029|SS0037,0.09323069328204103
S0010|SS0033,0.09304040921659307
S0001|SS0156,0.16607840068156032
S0018|S0021,0.07582814186110998
S0012|S0015,0.0839895250171222
S0012|SS0040,0.18829098586147486
S0028|SS0035,0.11864930895189296
S0002|SS0045,0.09120687709511899
S0002|S0011,0.19083847670099197
S0027|S0028,0.12527041006920625
SS0039|SS0157,0.10241907002362105
SS0034|SS0048,0.10610315353762123
S0016|SS0045,0.11780275987556144
SS0154|SS0156,0.18233958272436412
S0013|SS0154,0.10296249667667268
S0004|SS0047,0.09998167465284657
S0004|S0022,0.12660523311347693
S0006|S0021,0.08247231226162
S0001|S0023,0.26839304725425783
S0001|SS0045,0.22394346257912467
S0018|S0019,0.06544323402675845
S0005|S0027,0.11824399872588254
S0012|SS0048,0.1266070747808643
S0003|S0015,0.09777100036913389
S0018|SS0040,0.0767258672216855
S0024|SS0040,0.08792542081847377
S0001|S0018,0.241342062950741
S0015|SS0035,0.10315466677900154
S0022|SS0035,0.09040063168051626
S0002|SS0158,0.1450943792245334
S0028|SS0048,0.11975346646845031
S0020|SS0149,0.06562759936418827
S0022|S0025,0.06850198838422006
S0021|SS0151,0.17018021551747364
S0022|SS0034,0.07503602262609288
S0025|SS0045,0.08175418606233997
S0004|S0009,0.09527344469326204
S0006|S0029,0.10503082552747312
SS0034|SS0150,0.07165493521700095
S0026|SS0033,0.099490957945219
SS0043|SS0045,0.09024938031300389
S0013|S0017,0.12142908145251463
S0013|S0021,0.11485720196467375
S0005|SS0150,0.10334690105311994
S0003|S0025,0.07457339822333253
S0008|S0012,0.20845419717975922
S0004|SS0040,0.17390108899374312
S0003|SS0040,0.08625007492879389
S0015|SS0036,0.0923818440920462
SS0035|SS0047,0.10872783832911537
S0002|SS0151,0.1176407719317244
SS0042|SS0157,0.12618301064135207
S0021|SS0157,0.11894581012102967
SS0045|SS0154,0.15048959698283504
SS0153|SS0158,0.07847017554319424
S0004|S0010,0.07862251809194742
S0009|S0027,0.14185842480073152
S0009|SS0034,0.11046105093598813
S0027|SS0037,0.09499533595029708
S0006|S0024,0.06467747764442955
S0006|SS0043,0.08748315380516247
S0018|SS0046,0.08570461507544413
S0021|SS0155,0.07697284190548781
S0008|SS0153,0.13666558615135005
S0005|S0025,0.05889194263455377
S0005|SS0153,0.08692591583473108
S0012|SS0153,0.10762633684637057
S0005|S0012,0.09442455873423916
S0003|SS0154,0.12754652580262227
S0003|S0004,0.1274364004584415
SS0040|SS0043,0.1078213524440641
S0013|SS0040,0.1657414549462688
