asample|bsample,BCdis
S0025|SS0156,0.1305520670010505
S0023|SS0150,0.07875987470930024
S0026|S0029,0.1110928952415392
S0028|SS0150,0.12761995777765145
S0017|SS0042,0.08397784246316209
S0010|SS0048,0.10381735282886517
S0010|S0015,0.06855363494888012
S0010|S0017,0.095050762336366
SS0037|SS0041,0.07583424186026877
S0006|SS0041,0.07493340848572816
S0006|SS0047,0.11119946214814702
S0028|SS0043,0.1362704275015828
S0017|SS0043,0.09673954627329107
S0008|SS0039,0.08932019031694804
S0005|SS0041,0.08610469874607152
S0005|SS0045,0.10591569470520434
S0005|SS0033,0.08668554694851505
S0012|S0025,0.11878420494129627
S0003|S0010,0.09937032709056437
S0003|S0026,0.07584891184093479
S0027|SS0040,0.11140155131496843
S0002|SS0046,0.11992362864704786
S0029|SS0047,0.09581981454789201
S0020|S0021,0.09859175941443599
SS0045|SS0156,0.08881233919416343
S0016|S0021,0.06787100153578984
S0023|SS0041,0.08173614596324252
S0015|SS0048,0.10858711510200458
SS0034|SS0153,0.08780045537484704
S0028|SS0153,0.10301396661714002
S0029|SS0153,0.08108990372853397
SS0046|SS0153,0.11421071713852937
S0009|S0023,0.09069641358974201
S0004|SS0153,0.09979499883299014
S0009|S0016,0.08384814570633059
SS0037|SS0048,0.09960974210050089
S0011|SS0043,0.1463750004663269
S0013|SS0033,0.09380536630453273
S0004|SS0155,0.1298061460336024
S0005|S0023,0.0673329655855025
S0012|SS0158,0.0836839387730286
S0019|SS0040,0.12061202381735292
S0017|SS0035,0.08406948325608776
S0002|S0005,0.11068159130747401
S0028|SS0157,0.17142657327728483
S0022|SS0149,0.09442198026103688
S0028|SS0046,0.1339395637515819
SS0046|SS0158,0.1139029878261919
S0016|S0027,0.1066294262588906
S0021|SS0156,0.14071662285398512
S0016|SS0151,0.19337853589681775
S0013|S0025,0.09695684764762591
S0013|SS0034,0.10673621122200017
S0024|SS0045,0.08775126670928757
S0011|SS0041,0.15952793829769862
S0009|SS0151,0.22646613795381454
S0006|SS0149,0.0959476613578315
S0022|SS0033,0.10374451659033523
SS0043|SS0153,0.11372147180393344
S0019|SS0034,0.06918727552422
S0009|SS0155,0.1180739620087895
S0012|S0016,0.09647155115040063
S0003|S0028,0.1333658844472655
S0002|S0027,0.10161961049403079
S0023|S0028,0.09481489643227825
SS0149|SS0157,0.16761626279758135
S0023|SS0156,0.1437882480537066
S0017|SS0156,0.12028814355952666
S0027|SS0039,0.10257246705082645
S0015|S0016,0.041626345553323896
S0015|S0017,0.0902610409149428
S0010|S0013,0.07344377402447666
S0026|SS0155,0.08962342291318881
S0003|S0016,0.08001965987701487
SS0033|SS0036,0.08196840095413405
S0002|SS0048,0.14489774913357423
S0027|SS0156,0.12015188064003612
S0026|SS0151,0.16041966710603606
S0013|SS0150,0.1426012670971386
S0026|SS0041,0.0795013854002461
S0011|S0015,0.08308931811378673
S0010|SS0149,0.07674809050794784
S0006|S0009,0.0988851984542044
S0011|SS0034,0.1354227372156509
SS0033|SS0158,0.08465757602853452
SS0033|SS0151,0.210214076792258
S0028|SS0155,0.11611073523248494
S0001|S0016,0.286586468806208
S0008|SS0037,0.12010595096194598
S0008|S0016,0.13301937921100115
S0008|SS0033,0.1609215601744931
S0001|S0024,0.25205686823770357
S0005|S0029,0.08669711739504238
S0005|S0022,0.08467587183111924
S0001|S0025,0.2654102562715186
S0001|SS0149,0.3147674274122133
S0003|S0019,0.08924866330001724
S0001|S0003,0.23083651527195992
SS0035|SS0040,0.08656373890065738
S0026|SS0035,0.0743353447550692
SS0034|SS0035,0.04792572639736015
S0002|SS0036,0.09642206416355914
S0002|SS0035,0.1141174131717253
S0026|SS0158,0.10044460073505368
S0028|SS0151,0.21794410752079407
S0023|S0029,0.08798996280083016
SS0046|SS0156,0.13701334582454117
S0016|SS0149,0.07382337535743744
S0011|S0027,0.1735522427070365
S0029|SS0041,0.13611512622505084
S0015|SS0042,0.12426109214307657
S0019|S0023,0.06299599951666957
S0005|S0013,0.074347460401743
S0003|S0017,0.058530963965407024
S0003|S0013,0.1308078981947136
SS0040|SS0150,0.08308109316442458
S0017|SS0040,0.08267472998754333
SS0035|SS0151,0.16288171606620527
SS0035|SS0043,0.07903094192921645
S0002|S0024,0.08705632324902068
S0016|S0026,0.07697910505533401
SS0047|SS0048,0.05059058317035492
SS0034|SS0156,0.11904313469859618
SS0048|SS0154,0.11331714202914656
S0009|SS0157,0.1790904983814029
S0010|SS0034,0.09312638709854637
S0028|SS0037,0.11006778151442265
S0027|SS0045,0.11988056652897328
S0028|SS0033,0.11441913901959755
S0010|SS0043,0.11168636323277559
S0016|S0019,0.04637941003685653
S0019|S0022,0.08392041632508296
S0012|S0024,0.13019266032055465
S0003|SS0045,0.08896844255864411
S0020|SS0158,0.06521746209417645
S0025|S0026,0.04696310237265311
S0020|S0029,0.04785218993822593
S0013|SS0158,0.07586217387021887
SS0042|SS0154,0.14420779220365765
SS0048|SS0153,0.10528254735457476
S0015|S0021,0.08469735315163252
SS0037|SS0042,0.08097575901051102
S0006|S0011,0.12298264301576345
