sampleid,norm_cnt,cnt_norm_cnt
S0003,3.613754696575953E-6,1
S0003,3.5810265919643886E-6,1
S0003,3.4335912469181175E-6,1
S0003,4.432592809041989E-6,1
S0003,2.0930099521978197E-6,2
S0003,2.486700453301979E-6,1
S0003,2.6417617644713332E-6,1
S0003,3.1914668225102323E-6,2
S0003,2.200726723686367E-6,3
S0003,2.4774857442365873E-6,1
S0003,2.701816247690612E-6,1
S0003,3.135860819529419E-6,1
S0003,3.900363923368489E-6,1
S0003,3.204812263225628E-6,1
S0003,1.9166594856015256E-6,6
S0003,3.084067799610147E-6,1
S0003,6.456333568955139E-6,1
S0003,3.7310039257183543E-6,1
S0003,4.839628750861544E-6,1
S0003,2.8565598102715046E-6,2
S0003,1.932546915024615E-6,2
S0003,6.364821975478143E-6,1
S0003,3.0576946667678183E-6,2
S0003,2.594099476202065E-6,1
S0003,3.2753524498641453E-6,1
S0003,2.698956510394456E-6,1
S0003,2.350068560263409E-6,2
S0003,3.4046761253680946E-6,1
S0003,3.814889553072267E-6,1
S0003,2.243622783128709E-6,1
S0003,8.52837211431448E-6,1
S0003,3.973763847303163E-6,1
S0003,3.120926635871715E-6,2
S0003,2.9010446126561552E-6,1
S0003,4.1675904862648555E-6,1
S0003,2.816205739536857E-6,1
S0003,3.8803457622953965E-6,1
S0003,3.6712671910875375E-6,1
S0003,7.978667056275581E-7,124
S0003,1.1756697773086281E-7,6338
S0003,5.347708743811949E-7,360
S0003,6.463006289312836E-7,210
S0003,2.5515211653481846E-7,2445
S0003,2.9232870138484807E-7,1762
S0003,3.059918906887051E-7,1627
S0003,8.617341719083782E-7,93
S0003,2.2210626333479217E-7,3297
S0003,2.020881022616993E-7,3832
S0003,1.3227873737664374E-6,19
S0003,1.789560050216809E-6,6
S0003,2.5832960241943637E-7,2327
S0003,2.656378199540576E-7,2262
S0003,1.9382663896169274E-7,4093
S0003,1.1534273761163026E-7,6162
S0003,3.53336430369512E-7,1146
S0003,3.606446479041332E-7,1074
S0003,9.078077172353379E-7,76
S0003,6.243759763274201E-7,234
S0003,3.2791654329256867E-7,1326
S0003,4.785293742234578E-7,468
S0003,9.453020506738293E-7,76
S0003,2.3233776788326183E-6,6
S0003,1.110531316673961E-6,37
S0003,4.937813064696238E-7,420
S0003,8.674536465006904E-7,84
S0003,7.556061433621399E-7,139
S0003,9.58011994212301E-7,66
S0003,1.5633230552320136E-6,10
S0003,5.150704618965638E-7,407
S0003,5.493873094504373E-7,322
S0003,6.428053944582039E-7,212
S0003,1.442260843028071E-6,21
S0003,6.297777023312705E-7,223
S0003,1.0628690284046921E-6,58
S0003,7.003178889697882E-7,195
S0003,7.514754117121366E-7,150
S0003,1.0593737939316125E-6,44
S0003,9.300501184276633E-7,76
S0003,1.2754428340856306E-6,25
S0003,2.8597372961561222E-8,232
S0003,1.5998641429051196E-6,12
S0003,1.0622335312277686E-6,42
S0003,3.445347944691204E-6,1
S0003,1.257966661720232E-6,26
S0003,6.354971769235827E-7,219
S0003,7.546528975967545E-7,142
S0003,9.008172482891785E-7,84
S0003,9.097142087661087E-7,64
S0003,5.897413801850848E-7,302
S0003,1.0177487288431177E-6,65
S0003,1.3802998682780217E-6,17
S0003,6.857014539005458E-7,188
S0003,6.348616797466592E-7,206
S0003,1.4190651960703603E-6,11
S0003,1.2690878623163946E-6,29
S0003,7.88969745150628E-7,105
S0003,1.1674083140086214E-6,33
S0003,1.4301863966665229E-6,19
S0003,8.744441154468499E-7,75
S0003,2.3024062719941403E-6,3
S0003,1.6290970130436043E-6,15
S0003,9.370405873738228E-7,78
S0003,1.7374492817090752E-6,9
S0003,1.8683617001553333E-6,3
