sampleid,norm_cnt,cnt_norm_cnt
S0002,4.047495058322398E-6,1
S0002,3.9488210757598E-6,1
S0002,2.3656932171611437E-6,1
S0002,3.4027009206963674E-6,1
S0002,6.3526806446668545E-6,1
S0002,4.561344476950264E-8,1206
S0002,1.7345520834116992E-7,4892
S0002,2.9198810563334683E-7,1858
S0002,2.0200239826494028E-7,3998
S0002,1.7252432171322087E-7,4846
S0002,1.1325787306713241E-7,5905
S0002,4.052459787004793E-7,853
S0002,1.7717875485296605E-7,4878
S0002,1.5452718023953958E-7,5295
S0002,1.1968099079998074E-6,26
S0002,4.7102863374221095E-7,545
S0002,3.2829268412335916E-7,1460
S0002,2.8547189923770363E-7,2056
S0002,3.2984416183660756E-7,1446
S0002,9.184748062430464E-8,5071
S0002,1.8245377907801056E-7,4539
S0002,5.458098595207833E-7,332
S0002,5.945262597167827E-7,261
S0002,1.4739038275859697E-7,5536
S0002,2.5506293605803517E-7,2627
S0002,4.4030937501989285E-7,622
S0002,9.104071221341548E-7,56
S0002,4.6265065409066966E-7,527
S0002,3.838355862576515E-7,972
S0002,5.805629602975472E-7,268
S0002,3.5063396319413597E-7,1270
S0002,8.585877665116586E-7,73
S0002,3.6707962695456886E-7,1068
S0002,5.669099564209614E-7,312
S0002,4.0959011629757475E-7,785
S0002,1.1884319283482662E-6,27
S0002,4.282078488565554E-8,979
S0002,4.918184350997394E-7,441
S0002,1.0308017926822299E-6,40
S0002,6.339337936332919E-7,222
S0002,2.5444234497273583E-8,60
S0002,8.002522044935191E-7,97
S0002,3.599428294736263E-8,502
S0002,8.471068314336205E-7,84
S0002,7.357107316223861E-7,127
S0002,1.395709350838251E-6,6
S0002,9.367822432593774E-7,57
S0002,8.840320010089321E-7,82
S0002,6.00111579484477E-7,274
S0002,1.0413518411323188E-6,54
S0002,8.775157946132889E-7,74
S0002,1.3814357558763657E-6,15
S0002,6.885458091396351E-7,150
S0002,7.462607800724752E-7,118
S0002,7.1274886146631E-7,146
S0002,2.4103757753026975E-6,3
S0002,9.113380087621038E-7,66
S0002,7.015782219309216E-7,167
S0002,1.0984462209798595E-6,30
S0002,5.600834544826685E-7,309
S0002,6.565853682467183E-7,165
S0002,1.204877592108699E-6,21
S0002,1.007529626983504E-6,51
S0002,1.4766964874698168E-6,15
S0002,1.0978256298945602E-6,30
S0002,1.2210129603264823E-6,24
S0002,7.627064438329081E-7,116
S0002,1.8465687743082328E-6,6
S0002,8.229037791069457E-7,73
S0002,1.676837112478859E-6,10
S0002,1.1127198159417447E-6,32
S0002,1.6333957365079041E-6,10
S0002,7.717050145697488E-7,102
S0002,1.5561321463881344E-6,9
S0002,1.47359353204332E-6,17
S0002,9.591235223301542E-7,52
S0002,1.1145815891976428E-6,34
S0002,1.3187560562611308E-6,13
S0002,1.6520134690668848E-6,6
S0002,1.1549200097421008E-6,21
S0002,1.0050472626423066E-6,52
S0002,2.277879578591285E-6,3
S0002,1.0332841570234272E-6,40
S0002,1.067106371172242E-6,37
S0002,1.433255111498862E-6,14
S0002,1.6563576066639803E-6,3
S0002,3.0160726745548684E-6,1
S0002,9.25611603723989E-7,58
S0002,1.9778237888490466E-6,3
S0002,1.0807593750488279E-6,45
S0002,1.0779667151649808E-6,34
S0002,2.954634157110232E-6,1
S0002,2.3042546997165075E-6,2
S0002,1.5530291909616376E-6,8
S0002,2.064085949705657E-6,3
S0002,2.736496390627509E-6,1
S0002,1.50245101750974E-6,18
S0002,2.443267102823563E-6,1
S0002,1.3953990552956012E-6,14
S0002,2.3380769138653226E-6,2
S0002,2.2570897772337566E-6,6
S0002,3.174633696848854E-6,2
S0002,1.5803351987148093E-6,11
S0002,1.532549685146759E-6,7
S0002,1.920729409001506E-6,7
S0002,1.636498691934401E-6,11
S0002,1.6368089874770507E-6,7
S0002,1.0466268653573634E-6,35
S0002,2.341490164834469E-6,3
S0002,1.163608284936292E-6,16
S0002,1.4403919089798046E-6,9
S0002,2.7101212695022864E-6,1
S0002,1.824227495237456E-6,2
S0002,2.228852882852636E-6,2
S0002,1.593057315963446E-6,10
S0002,1.8533952762465257E-6,3
S0002,2.1550025437020126E-6,2
S0002,2.286257558242826E-6,3
S0002,2.9850431202899008E-6,1
S0002,2.65830191387979E-6,2
S0002,2.324423909988737E-6,6
S0002,1.6324648498799551E-6,5
S0002,1.737655038838196E-6,7
S0002,2.192238008819974E-6,5
S0002,3.8938987647108075E-6,1
S0002,2.228542587309986E-6,1
S0002,3.3757052084858454E-6,1
S0002,5.074573304492831E-6,1
S0002,1.914833793691162E-6,3
S0002,2.240333817930674E-6,6
S0002,2.3005311532047114E-6,3
S0002,1.9815473353608427E-6,5
S0002,1.807781831477023E-6,3
S0002,3.199767635803478E-6,1
S0002,2.8137599807472785E-6,1
S0002,1.8962160611321813E-6,2
S0002,2.0656374274189053E-6,2
S0002,2.2996002665767624E-6,2
S0002,3.09178478696139E-6,1
S0002,2.283464898358979E-6,2
S0002,2.3117017927401E-6,2
S0002,3.500133721088366E-6,2
S0002,2.5568352714333454E-6,2
S0002,2.05136383245702E-6,2
S0002,3.3136460999559097E-6,1
S0002,2.6350297481810644E-6,1
S0002,2.716947771440579E-6,2
S0002,2.171137911919796E-6,2
S0002,3.3195417152662533E-6,1
S0002,5.530397456645208E-6,1
S0002,3.3179902375530052E-6,1
