asample,bsample,JaccardDistance
SS0043,SS0153,0.20421869761840716
S0011,SS0041,0.27516009199923175
S0019,SS0034,0.1294201166895096
S0027,SS0039,0.18605994833785633
SS0149,SS0157,0.2871084758548639
S0017,SS0156,0.2147446576818145
S0023,SS0156,0.25142459419105834
S0023,S0028,0.1732071727216281
S0002,SS0048,0.25311898217704965
S0003,S0016,0.14818185788604432
S0026,SS0155,0.164503228572477
S0015,S0016,0.07992567724696831
S0015,S0017,0.16557686510030334
S0010,S0013,0.13683767292087512
SS0033,SS0036,0.15151497118304702
S0027,SS0046,0.2247615776905938
SS0033,SS0048,0.1392580567660593
S0023,S0026,0.1332615020806659
S0016,S0029,0.1427282075797679
S0013,S0020,0.09078427061534056
S0013,S0026,0.19791422887613108
S0020,SS0154,0.1637721041919572
S0015,S0027,0.20913679071177682
S0009,SS0156,0.3292134546627551
S0009,S0012,0.18346148149727692
S0004,SS0149,0.14849592026628333
S0004,S0029,0.11626478115142347
S0010,S0011,0.1530787554624663
SS0037,SS0045,0.1682269687893294
S0006,S0010,0.14876670206655618
S0016,SS0043,0.17957515153651749
SS0043,SS0048,0.13812229357471595
S0018,S0025,0.10395797993265199
S0015,S0019,0.10440398344933244
S0004,S0005,0.13702046520233024
S0005,S0021,0.1520676740204392
SS0040,SS0158,0.26203193160950045
SS0036,SS0037,0.07729363198125228
S0001,S0027,0.3723972076693144
S0001,SS0033,0.4769442994251968
SS0045,SS0156,0.16313611968194808
S0016,S0021,0.1271145883402095
S0012,SS0158,0.15444144267811377
S0029,SS0047,0.17488241584613573
S0013,SS0033,0.1715197957829745
S0020,S0021,0.1794852454217759
S0015,SS0048,0.19590172530492778
S0009,S0023,0.16630918092274694
S0009,S0016,0.15472305052787472
S0004,SS0155,0.22978475437336632
S0004,SS0153,0.18147927375354944
S0029,SS0153,0.15001503229799562
SS0034,SS0153,0.16142737376857696
SS0046,SS0153,0.2050073929136943
SS0037,SS0048,0.18117275142507594
S0028,SS0153,0.1867863322403529
S0011,SS0043,0.2553701770124248
S0023,SS0041,0.15112021472421266
S0017,SS0035,0.1550996583851143
S0002,S0005,0.19930390883166427
S0005,S0023,0.12617049741093256
S0019,SS0040,0.2152605880226891
S0008,SS0151,0.19630210251888436
SS0039,SS0046,0.13534161736191797
S0016,S0017,0.12861785580954888
S0008,S0020,0.29699587971780605
S0025,SS0046,0.14009887508378904
S0011,SS0150,0.2860603724126548
S0024,SS0150,0.13146556673338428
S0013,SS0151,0.39106201493852133
S0013,S0029,0.09737134638008471
S0015,SS0150,0.20921842015137604
SS0033,SS0154,0.1834737031453657
S0002,S0009,0.251533188955283
S0015,SS0155,0.19907865038632766
SS0037,SS0154,0.17049052725374703
S0020,SS0037,0.15325632396505573
S0028,S0029,0.18950386125168373
S0015,SS0043,0.2009910600946445
SS0041,SS0151,0.24461208836425796
S0018,SS0041,0.11852151559098356
S0013,SS0035,0.1951772854057633
S0024,SS0035,0.13932588618993302
S0020,SS0040,0.26409957299361486
S0021,SS0040,0.19548579429022384
SS0034,SS0149,0.16336778980843425
SS0151,SS0158,0.3624098413645407
SS0039,SS0042,0.13100584126841952
S0026,SS0045,0.16775284954073966
S0023,S0025,0.11477358376044078
S0002,SS0149,0.2580441217093392
S0002,S0020,0.2714420331580365
S0012,S0022,0.24762668459930282
S0003,SS0150,0.14777106061573686
S0022,SS0154,0.17675831645376283
S0015,SS0149,0.1367201174032603
S0004,S0016,0.15849707997382556
S0004,SS0156,0.3594678188671335
S0010,SS0156,0.31127746206748286
S0027,SS0043,0.2267163491563563
SS0043,SS0046,0.11600779466857702
SS0040,SS0042,0.14839506162409355
S0018,SS0036,0.10597029829275595
S0016,SS0158,0.1391322393358264
S0011,SS0039,0.2985875223896932
S0011,S0023,0.20641852000577054
S0027,SS0033,0.2267033956544181
S0026,SS0042,0.1660047168087163
S0023,S0024,0.0903577742808247
S0003,S0023,0.1348335575495785
S0013,SS0046,0.21275869428470717
S0016,SS0154,0.16910620103395135
S0015,SS0151,0.35123846636386835
S0004,SS0042,0.25868221368872113
S0009,S0010,0.09989805222479997
SS0037,SS0156,0.23911278312707773
S0006,SS0157,0.2453195037823438
S0021,SS0037,0.13969488611812297
SS0034,SS0043,0.15317814858552248
S0013,SS0043,0.21816554813033195
S0028,SS0041,0.2327192328887705
S0011,SS0035,0.23863199312770145
S0005,SS0156,0.2772683812874166
SS0040,SS0156,0.1295729762818425
SS0039,SS0040,0.08646339382164558
SS0035,SS0036,0.12246869914881264
S0001,SS0039,0.35965351349746666
SS0034,SS0157,0.22313087736200343
